BATCH_ID                                                                                                                          TXNS  SIGNER                                                            
8741f72f50f7baa5d1a75c9257fae9d6204a51598da66d3ecf869abb964702ca1556b1857952b31542b65984ff7c2f101020a3a670e135d32cc14a76ef54c025  250   035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
3d6e8bbdc099c2c2daf70e70f3816f38f647b03b427097ec7cea929ebb195d1e0a4cc48c3630de105440f62a8a65dbaefd79b1431f42e409d79e7ef1cb660629  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
cd6a05245a1a28c5696f671424d1b552097d7207aa7125520ac9902ee9ed05d02ee377d13f67ac9c0e711c6a46badeebc555b1a3c69d7c924dea0fc3e4dd81ff  250   035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
4b3da2e772fc1eaf8de4f707deb5be234d8cb1287d58ca867bfae1c275428cb244b4bb68d5d7834eeae6e1ed983f7e19faad6a56e5b238bc1c65d080406b845a  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
aa52abffea9a702c4fb431cbb125c5c29237ec741fe4daf0c1652dd1b20e1bed5ad019e959d5d834d95028f6478fcd5d45f03953829b7e3c519668cef30a5c03  50    035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
1b2634050f0974a5b677f464393e379e344192680bc06e4ed4fb71513af91f57340f17f4f7f0eadf35918eeb8fdf44d9254ad28b52d7a901ee776d4720f681e6  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
0ff5a580d1d0a9334f2f26c2ba9b014738820867d58a901caaa108c36fd8f5a84d1c512ac55b27a7257263ad9549c9bb870b0407261063403289821cf9637a05  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
4be8d2a7fcd2f03119e3eb1f0930f3bfc5131efa3bff3d55ffcd814535667f843c9b65ae10188c6612d8f13ac43047201224c01bcc3f679a541d5b69bf1d6f04  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
c0488608df1ad1b219957d1d1ee3e0608b602b59d59cc3a6ed62a55f76be23d536f683bdc98cbc3c2cb67a661a392ca10192f32347859f319df10e3fef2b12b5  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
9f205a37045f3d9d4b188c587e042b5d51ef3055b947789ad8bbd1363e782ece79d13e55c03c9c72a27cdd95db7856e65f77eaf4b518917d23516d89d5a590e8  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
296f0c78c32debb7b21e4398ba0769432c33de64473fbd933cdfe197e9a168575df112a4ccbdee76f7693d64844b584f6bf70329c54093ccf2c63999236cffa8  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
565eb6d6c454780f31dff2a269fc4951a9312e6686df85e5f2cb3427f21b63ef4f7081c4af2ac9189a080cb91ae57161367efea05c41cb4034f57b62e00f74d7  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
35f46c842ca93ba82b39ee79d8945d38918d2266d6cef075508738651e4577d935817ced56c2557b17636fd8e4020c3e701b55baea22aafcdfa46f74a57515d8  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
02177030a57b0c9c6ab378e094f6e2f0984670b72bfe4ecb2fcc9135b9aeab337476adac16138c710faef93bc931cc3f13c0bc10e272a158da1fc1f7cae70453  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
9f7833c0bb222124ec46bc18c3ae8bddb3155feef647fc68e19a360121709015727df0fcfceb18bd3f6ea6170242f75b5989903808d0552d4fa3bf74c0525ab0  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
37a4c0dcb90b426c93758fbf2b15377dc7f06c240bafe5b0347e98edfaef210e7e171f7d9fee8ce2b2cdc79cc4a752b87fbe3fe41ea86bf1d503c6f2c9d41f6a  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
4024d16a76b4253968eb3d690f923125e5934d341555917255ba145290422d0b51232c7a98cf65628d569487d5c9cfc66ee9f3745db92f7beb51a358f080b71a  1000  035bd1c4c3057d3cf6e3c9bfcce768a84b815103c8ff7e3ad23bb3442fab1ee8aa
